"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
1,"Pattern",3.06806648210459,4,304,0.016835316085513,0.27061,0.25813,"<.05",0.0319787985549285,0.0388028520059863
2,"Pattern",5.61531453107249,4,304,0.000225673381447184,0.18883,0.2394,"<.0005",0.0563264557662909,0.0688022163896046
3,"Pattern",7.73311653100115,4,304,6.03210861795081e-06,0.11004,0.2174,"<.0001",0.0817851644666129,0.0923543378220977
4,"Pattern",12.8150806089773,4,304,1.18611654810791e-09,0.073707,0.18359,"<.0001",0.0947620369929931,0.144289466621077
5,"Pattern",13.799209262132,4,304,2.3598033230755e-10,0.035595,0.13683,"<.0001",0.103133159507234,0.15366738054286
6,"Pattern",16.7305963422825,4,304,2.08664383245695e-12,-2.187e-17,0.089291,"<.0001",0.115823989614544,0.180421532937493
7,"Pattern",12.9841607064279,4,304,8.97907711830926e-10,-0.028292,0.036037,"<.0001",0.119380773327086,0.14591541464626
8,"Pattern",5.35786052914177,4,304,0.000350531994991943,0.15945,0.30209,"<.0005",0.0571007352967396,0.0658554747420211
9,"Pattern",9.29971305942558,4,304,4.21160583570903e-07,0.083862,0.27643,"<.0001",0.0807616388827398,0.109023966504398
10,"Pattern",7.95593127530635,4,304,4.12562140555274e-06,0.050145,0.23852,"<.0001",0.0639443318992385,0.0947631829515111
11,"Pattern",11.6941668404821,4,304,7.58359475944037e-09,-4.8953e-17,0.19987,"<.0001",0.087832346187472,0.13335170698131
12,"Pattern",11.6596919852749,4,304,8.03105183233037e-09,-0.035595,0.13683,"<.0001",0.0793985630541621,0.133010871031049
13,"Pattern",11.8607049538316,4,304,5.75041625326162e-09,-0.058411,0.078036,"<.0001",0.0879090231681061,0.13499442054402
14,"Pattern",4.52628509075444,4,304,0.00144830315794917,0.044058,0.32872,"<.005",0.0469985600498446,0.0562087905291203
15,"Pattern",8.73883992309244,4,304,1.08942310171747e-06,-6.9342e-17,0.28311,"<.0001",0.0628182961191616,0.103126735402841
16,"Pattern",7.70560435042024,4,304,6.32194880073742e-06,-6.0391e-17,0.24656,"<.0001",0.0566134951221592,0.0920560147700738
17,"Pattern",6.34480710469532,4,304,6.47396195129177e-05,-8.7824e-17,0.35857,"<.0001",0.0583839995498421,0.0770516967345417
18,"Pattern",6.60914523987798,4,304,4.11785922395868e-05,-0.050145,0.23852,"<.0001",0.0508522659871089,0.0800050069600229
19,"Pattern",8.14194441875928,4,304,3.00528360043443e-06,-0.073707,0.18359,"<.0001",0.0493408159215763,0.0967643958670398
