"Chan","T2","Pvals","df1","df2","xpos","ypos","Pvals_cuts"
1,0.0745997576346846,2.386743792826e-06,2,356,0.27061,0.25813,"<.0001"
2,0.0333763200264733,0.0027160462611886,2,356,0.18883,0.2394,"<.005"
3,0.00450586297536469,0.445208242159966,2,356,0.11004,0.2174,"ns"
4,0.000780066552313067,0.869048253328397,2,356,0.073707,0.18359,"ns"
5,0.0138721587302742,0.0837736510285069,2,356,0.035595,0.13683,"ns"
6,0.0291585207423584,0.00566956751565528,2,356,-2.187e-17,0.089291,"<.01"
7,0.0676620555742751,7.65166105520798e-06,2,356,-0.028292,0.036037,"<.0001"
8,0.0562366800699169,5.29988360864486e-05,2,356,0.15945,0.30209,"<.0001"
9,0.0342965180024588,0.00231410170165436,2,356,0.083862,0.27643,"<.005"
10,0.00671383044487127,0.299870196762049,2,356,0.050145,0.23852,"ns"
11,0.000951125873930499,0.842720122724324,2,356,-4.8953e-17,0.19987,"ns"
12,0.00738301875020607,0.266067032159172,2,356,-0.035595,0.13683,"ns"
13,0.0471226241069731,0.000251975877278876,2,356,-0.058411,0.078036,"<.0005"
14,0.0412051642682465,0.000698505566569696,2,356,0.044058,0.32872,"<.001"
15,0.0369733988363317,0.00145345293209742,2,356,-6.9342e-17,0.28311,"<.005"
16,0.010174755352464,0.161686160938917,2,356,-6.0391e-17,0.24656,"ns"
17,0.0836778893492221,5.25680431406883e-07,2,356,-8.7824e-17,0.35857,"<.0001"
18,0.0107759830746609,0.145266583437116,2,356,-0.050145,0.23852,"ns"
19,0.000828056675057676,0.861579598590932,2,356,-0.073707,0.18359,"ns"
20,0.0015926219454806,0.750931117264351,2,356,-0.097709,0.1308,"ns"
21,0.0705139150024186,4.73560523728267e-06,2,356,-0.044058,0.32872,"<.0001"
22,0.0373849295113459,0.00135330619578988,2,356,-0.083862,0.27643,"<.005"
23,0.015962318127458,0.0578284413051817,2,356,-0.11004,0.2174,"ns"
24,0.00130367523897693,0.790960697985559,2,356,-0.12335,0.16655,"ns"
25,0.0475714254471935,0.000233280188528751,2,356,-0.15945,0.30209,"<.0005"
26,0.0403985304658338,0.000803023416127369,2,356,-0.18883,0.2394,"<.001"
27,0.00785127112222734,0.244718143718315,2,356,-0.1756,0.16852,"ns"
28,0.000229612329474442,0.959516831470695,2,356,-0.15612,0.11703,"ns"
29,0.0261378430681262,0.00962194898685786,2,356,-0.12367,0.07006,"<.01"
30,0.0816526807748043,7.35910712590382e-07,2,356,-0.089234,0.023191,"<.0001"
31,0.112605754084021,4.60669224988663e-09,2,356,-0.044495,-0.015575,"<.0001"
32,0.0619281360615803,2.01572193794242e-05,2,356,-0.27061,0.25813,"<.0001"
33,0.0155231417785905,0.0625079475829345,2,356,-0.27006,0.17418,"ns"
34,0.000406328957874371,0.929485389803169,2,356,-0.22865,0.099464,"ns"
35,0.0117212636644516,0.122772584559554,2,356,-0.1832,0.042556,"ns"
36,0.0764262992475473,1.75852829420453e-06,2,356,-0.14086,0.0073253,"<.0001"
37,0.131251616100207,2.32139640843343e-10,2,356,-0.091723,-0.035635,"<.0001"
38,0.0563646316468923,5.18564478313444e-05,2,356,-0.34659,0.19108,"<.0001"
39,0.0123058163231813,0.110650565280475,2,356,-0.33383,0.039461,"ns"
40,0.00150439430888677,0.762932889675661,2,356,-0.25598,0.0011134,"ns"
41,0.0339185229320806,0.00247141834169462,2,356,-0.19461,-0.022574,"<.005"
42,0.0988783022705941,4.29392443823673e-08,2,356,-0.15112,-0.059346,"<.0001"
43,0.0917246714573321,1.38969972862668e-07,2,356,-0.41311,0.15319,"<.0001"
44,0.0567237952793801,4.8780298649298e-05,2,356,-0.39898,0.074566,"<.0001"
45,0.000516453914499619,0.91125050805891,2,356,-0.31837,-0.081339,"ns"
46,0.00980537881353782,0.172686876667498,2,356,-0.24052,-0.075603,"ns"
47,0.060070349680864,2.76198625184243e-05,2,356,-0.19145,-0.085584,"<.0001"
48,0.123516950622241,7.96882337894544e-10,2,356,-0.45895,0.17222,"<.0001"
49,0.121425107902898,1.11403664071474e-09,2,356,-0.46317,0.03064,"<.0001"
50,0.00141023006114518,0.775955128621607,2,356,-0.27341,-0.16219,"ns"
51,0.0918518803916425,1.36088458946304e-07,2,356,-0.20096,-0.14301,"<.0001"
52,0.14146653849678,4.61296556508728e-11,2,356,-0.15394,-0.11866,"<.0001"
53,0.144382773049893,2.91606738755945e-11,2,356,-0.099452,-0.09574,"<.0001"
54,0.128051129451077,3.86314535916199e-10,2,356,-0.050987,-0.076676,"<.0001"
55,0.116028811268723,2.65171484770121e-09,2,356,5.8045e-18,-0.047397,"<.0001"
56,0.0322895125309045,0.00328220748801411,2,356,-0.41976,-0.1671,"<.005"
57,0.0235387762447649,0.0151866433588278,2,356,-0.33631,-0.19112,"<.05"
58,0.0449372383704233,0.000366943210406534,2,356,-0.22492,-0.21452,"<.0005"
59,0.148164744545128,1.61155533362489e-11,2,356,-0.15297,-0.18922,"<.0001"
60,0.112830054178888,4.44272174604521e-09,2,356,-0.10478,-0.15427,"<.0001"
61,0.0778380235738151,1.38923474968244e-06,2,356,-0.054807,-0.12811,"<.0001"
62,0.031436320052734,0.00380873460936093,2,356,1.1987e-17,-0.097882,"<.005"
63,0.0344126517579595,0.00226782073125686,2,356,-0.349,-0.28153,"<.005"
64,0.00128535290945694,0.793570186378544,2,356,-0.25813,-0.2804,"ns"
65,0.0741250313954016,2.58417012233281e-06,2,356,-0.16624,-0.26054,"<.0001"
66,0.0834494229999801,5.45996802436832e-07,2,356,-0.10296,-0.21873,"<.0001"
67,0.0529129136520112,9.34342057188342e-05,2,356,-0.04676,-0.18643,"<.0001"
