"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
1,"Pattern",2.12508523277627,4,448,0.0767439864064665,0.27061,0.25813,"ns",0.0155285567722691,0.018620667213013
2,"Pattern",1.65668116291222,4,448,0.159033826997537,0.18883,0.2394,"ns",0.0129478210816724,0.0145761880952478
3,"Pattern",0.995815350108625,4,448,0.409468826639871,0.11004,0.2174,"ns",0.00751186548003344,0.0088128515823632
4,"Pattern",1.10449705489331,4,448,0.353822303965935,0.073707,0.18359,"ns",0.00808242557363149,0.00976527975149619
5,"Pattern",0.889644304024275,4,448,0.469953243570883,0.035595,0.13683,"ns",0.00629345692362609,0.00788065468280124
6,"Pattern",0.754728062109454,4,448,0.555236401847065,-2.187e-17,0.089291,"ns",0.00586964860236563,0.0066935380456394
7,"Pattern",0.752560232317672,4,448,0.556678339089993,-0.028292,0.036037,"ns",0.00505724974862185,0.0066744403033251
8,"Pattern",0.872571045032064,4,448,0.480238260046666,0.15945,0.30209,"ns",0.00668407413980215,0.00773058535792491
9,"Pattern",0.629602796329623,4,448,0.64160217435886,0.083862,0.27643,"ns",0.00482563500353188,0.00559002944783661
10,"Pattern",1.14922007951114,4,448,0.332744247471651,0.050145,0.23852,"ns",0.00839640287168971,0.0101566769855203
11,"Pattern",1.28265206653403,4,448,0.275916527942996,-4.8953e-17,0.19987,"ns",0.00884431331839121,0.0113225815527402
12,"Pattern",0.421774354326465,4,448,0.792953951166997,-0.035595,0.13683,"ns",0.00365057838461995,0.00375171408518365
13,"Pattern",0.42951452970079,4,448,0.78733723632228,-0.058411,0.078036,"ns",0.00348520359861477,0.00382030049224596
14,"Pattern",1.03959430470615,4,448,0.386292073890728,0.044058,0.32872,"ns",0.00750760880914593,0.00919672713884527
15,"Pattern",1.00041625682312,4,448,0.406984547704185,-6.9342e-17,0.28311,"ns",0.00672029195740531,0.0088532085983596
16,"Pattern",2.21026375100624,4,448,0.0669914935449706,-6.0391e-17,0.24656,"ns",0.0129767063356022,0.0193525842460614
17,"Pattern",1.61305023491039,4,448,0.169872469897536,-8.7824e-17,0.35857,"ns",0.0117455034595001,0.0141977548492465
18,"Pattern",1.30648055292981,4,448,0.2666855991083,-0.050145,0.23852,"ns",0.00785891589686326,0.0115305015790293
19,"Pattern",0.387603489760698,4,448,0.817537238777942,-0.073707,0.18359,"ns",0.00275296524353974,0.00344880999082796
20,"Pattern",0.718962367804624,4,448,0.579290534096089,-0.097709,0.1308,"ns",0.0051465795869765,0.00637836219125787
21,"Pattern",1.44062563791954,4,448,0.219546152774532,-0.044058,0.32872,"ns",0.00876296305508832,0.0126993802248388
