"Chan","T2","Pvals","df1","df2","xpos","ypos","Pvals_cuts"
1,0.0251429750722841,0.00153295278599441,2,518,0.27061,0.25813,"<.005"
2,0.0391748168725597,4.41478717723154e-05,2,518,0.18883,0.2394,"<.0001"
3,0.0297041128207006,0.000481307388314312,2,518,0.11004,0.2174,"<.0005"
4,0.0249867053115194,0.00159516533582882,2,518,0.073707,0.18359,"<.005"
5,0.00832168302744913,0.114990828925591,2,518,0.035595,0.13683,"ns"
6,0.00282470458391291,0.478930115412845,2,518,-2.187e-17,0.089291,"ns"
7,0.000142182490182233,0.963573054836508,2,518,-0.028292,0.036037,"ns"
8,0.0429196357881002,1.72699730013326e-05,2,518,0.15945,0.30209,"<.0001"
9,0.0293043511454882,0.00053263230053413,2,518,0.083862,0.27643,"<.001"
10,0.020952874364141,0.0044637531745384,2,518,0.050145,0.23852,"<.005"
11,0.00954783208603301,0.0837371851171391,2,518,-4.8953e-17,0.19987,"ns"
12,0.00481509177367987,0.2854467564829,2,518,-0.035595,0.13683,"ns"
13,0.00176750947668436,0.630709679190935,2,518,-0.058411,0.078036,"ns"
14,0.0377548631878096,6.30749239474149e-05,2,518,0.044058,0.32872,"<.0001"
15,0.0162401443360796,0.0149302285977166,2,518,-6.9342e-17,0.28311,"<.05"
16,0.0104729682405202,0.0659326685442629,2,518,-6.0391e-17,0.24656,"ns"
17,0.025008012652933,0.00158653567847933,2,518,-8.7824e-17,0.35857,"<.005"
18,0.00999369794230057,0.074622852712097,2,518,-0.050145,0.23852,"ns"
19,0.00454943492595217,0.305841298539318,2,518,-0.073707,0.18359,"ns"
20,0.00467037619511724,0.296381247616977,2,518,-0.097709,0.1308,"ns"
21,0.0169954480297776,0.0122987854195857,2,518,-0.044058,0.32872,"<.05"
22,0.0104294785300151,0.0666774331530273,2,518,-0.083862,0.27643,"ns"
23,0.00304180708809889,0.452622269386985,2,518,-0.11004,0.2174,"ns"
24,0.00546157669542392,0.241336481296737,2,518,-0.12335,0.16655,"ns"
25,0.00546047543846326,0.241405478385851,2,518,-0.15945,0.30209,"ns"
26,0.00223236859065504,0.558783142902927,2,518,-0.18883,0.2394,"ns"
27,0.0025854549360482,0.509703452171518,2,518,-0.1756,0.16852,"ns"
28,0.00224749460617546,0.556586426029148,2,518,-0.15612,0.11703,"ns"
29,0.000230989430827682,0.941499722343824,2,518,-0.12367,0.07006,"ns"
30,0.00103694940641048,0.762996001678237,2,518,-0.089234,0.023191,"ns"
31,0.000421063506178438,0.895946779085695,2,518,-0.044495,-0.015575,"ns"
32,0.000654111330933895,0.843102435782309,2,518,-0.27061,0.25813,"ns"
33,4.44384111927565e-05,0.988468833818035,2,518,-0.27006,0.17418,"ns"
34,0.000152783478330027,0.960911065112625,2,518,-0.22865,0.099464,"ns"
35,4.93483165419287e-05,0.987202996608654,2,518,-0.1832,0.042556,"ns"
36,5.72883738461185e-05,0.985159389659636,2,518,-0.14086,0.0073253,"ns"
37,0.000739043573147476,0.8246315647035,2,518,-0.091723,-0.035635,"ns"
38,0.000861415240224383,0.798730369081581,2,518,-0.34659,0.19108,"ns"
39,0.00180170178143845,0.625116160387379,2,518,-0.33383,0.039461,"ns"
40,0.00221912774141515,0.560713224220742,2,518,-0.25598,0.0011134,"ns"
41,0.000580290704920957,0.859493851566492,2,518,-0.19461,-0.022574,"ns"
42,0.000147716459129373,0.962182510362907,2,518,-0.15112,-0.059346,"ns"
43,0.00151598123167193,0.673431377305055,2,518,-0.41311,0.15319,"ns"
44,0.00176028083256099,0.631898631928766,2,518,-0.39898,0.074566,"ns"
45,0.00334424930137456,0.418373133423841,2,518,-0.31837,-0.081339,"ns"
46,0.00440931893457163,0.317180900074608,2,518,-0.24052,-0.075603,"ns"
47,0.00122115103358227,0.72722127907756,2,518,-0.19145,-0.085584,"ns"
48,0.00244444737867156,0.528762317812121,2,518,-0.45895,0.17222,"ns"
49,0.0012478529796595,0.722176995760164,2,518,-0.46317,0.03064,"ns"
50,0.012179050977934,0.0424518830765868,2,518,-0.27341,-0.16219,"<.05"
51,0.00870588873904581,0.104107883380692,2,518,-0.20096,-0.14301,"ns"
52,0.00712918151419224,0.156599403246642,2,518,-0.15394,-0.11866,"ns"
53,0.000955358743716196,0.77940171892361,2,518,-0.099452,-0.09574,"ns"
54,0.000450116255910224,0.889181673883926,2,518,-0.050987,-0.076676,"ns"
55,0.0025299833356228,0.517117415023904,2,518,5.8045e-18,-0.047397,"ns"
56,0.00958634012076046,0.0829077480664651,2,518,-0.41976,-0.1671,"ns"
57,0.00495397731782288,0.275333735596372,2,518,-0.33631,-0.19112,"ns"
58,0.0233942085342896,0.00239343134620884,2,518,-0.22492,-0.21452,"<.005"
59,0.0225589323919074,0.00296181313581911,2,518,-0.15297,-0.18922,"<.005"
60,0.0145231475740836,0.023212337160109,2,518,-0.10478,-0.15427,"<.05"
61,0.00788724865790944,0.128679035951102,2,518,-0.054807,-0.12811,"ns"
62,0.0185049719137112,0.00835147520943957,2,518,1.1987e-17,-0.097882,"<.01"
63,0.0031964601487898,0.434771220603089,2,518,-0.349,-0.28153,"ns"
64,0.0138722319951469,0.0274447944516536,2,518,-0.25813,-0.2804,"<.05"
65,0.0240707223465397,0.00201432087664744,2,518,-0.16624,-0.26054,"<.005"
66,0.0185562994858866,0.00824236465478989,2,518,-0.10296,-0.21873,"<.01"
67,0.0192556666319693,0.00689064761959657,2,518,-0.04676,-0.18643,"<.01"
68,0.0120245640558655,0.0441771000679545,2,518,-0.22108,-0.37388,"<.05"
69,0.0145609255830509,0.0229878601461818,2,518,-0.1585,-0.34149,"<.05"
70,0.0220506725197705,0.00337211887270561,2,518,-0.093018,-0.29235,"<.005"
71,0.0216153737681887,0.00376861821033725,2,518,-0.039316,-0.23611,"<.005"
72,0.0199752390746267,0.00573161358296481,2,518,2.5091e-17,-0.20489,"<.01"
73,0.0159340680129467,0.0161512823058927,2,518,-0.10679,-0.41491,"<.05"
74,0.0302388524950903,0.000420326091764345,2,518,-0.049033,-0.36828,"<.0005"
75,0.0376917816551659,6.40833517300265e-05,2,518,3.6897e-17,-0.30129,"<.0001"
76,0.0212333081132239,0.00415503201462819,2,518,0.039316,-0.23611,"<.005"
77,0.0153585486673345,0.0187253528569733,2,518,0.04676,-0.18643,"<.05"
78,0.00832813798207989,0.11479887103047,2,518,0.054807,-0.12811,"ns"
79,0.00152840949350141,0.671253790555743,2,518,0.050987,-0.076676,"ns"
80,3.73536086689893e-06,0.999025547735917,2,518,0.044495,-0.015575,"ns"
81,0.0241636499174518,0.00196718479018188,2,518,5.188e-17,-0.42363,"<.005"
82,0.0300251575283243,0.000443705717008913,2,518,0.049033,-0.36828,"<.0005"
83,0.0114764911892639,0.0508855779991417,2,518,0.093018,-0.29235,"ns"
84,0.00128845178167608,0.714574665452571,2,518,0.10296,-0.21873,"ns"
85,0.0017190888763107,0.638716870722867,2,518,0.10478,-0.15427,"ns"
86,7.92465464423663e-05,0.979529893623304,2,518,0.099452,-0.09574,"ns"
87,0.000456646413111621,0.887668160057459,2,518,0.091723,-0.035635,"ns"
88,0.0174808087922458,0.0108588927216311,2,518,0.10679,-0.41491,"<.05"
89,0.0036772671123538,0.383662196066209,2,518,0.1585,-0.34149,"ns"
90,0.000572296528817172,0.861287997401353,2,518,0.16624,-0.26054,"ns"
91,2.24033836038855e-05,0.994169844586954,2,518,0.15297,-0.18922,"ns"
92,0.000216253318189583,0.945127001953553,2,518,0.15394,-0.11866,"ns"
93,0.00025692109200735,0.935150569377251,2,518,0.15112,-0.059346,"ns"
94,0.00186926978759993,0.614208715834937,2,518,0.22108,-0.37388,"ns"
95,5.00575465901488e-05,0.987020282470211,2,518,0.25813,-0.2804,"ns"
96,0.0005686826448884,0.862100300700329,2,518,0.22492,-0.21452,"ns"
97,0.000106317862620961,0.972633949446591,2,518,0.20096,-0.14301,"ns"
98,0.00200699787617749,0.592563380486153,2,518,0.19145,-0.085584,"ns"
99,0.00018206310558932,0.95359701586818,2,518,0.349,-0.28153,"ns"
100,0.000750742728196367,0.822119292513586,2,518,0.33631,-0.19112,"ns"
101,0.000350408936475176,0.912615534072952,2,518,0.27341,-0.16219,"ns"
102,0.00283864636100023,0.477195490392881,2,518,0.24052,-0.075603,"ns"
