"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes","T2btw","T2btw_p","T2btw_df1","T2btw_df2","T2acr","T2acr_p","T2acr_df1","T2acr_df2","T2cbtw","T2cbtw_p","T2cbtw_df1","T2cbtw_df2","T2cacr","T2cacr_p","T2cacr_df1","T2cacr_df2"
1,"Pattern",0.948378069997383,4,272,0.436438915782975,0.27061,0.25813,"ns",0.0049804580708362,0.0137549003550827,18.6908330093934,6.51362678307787e-05,2,16,92.6632259250103,0,2,160,0.0582225245511849,0.362361890759502,2,32,0.00871363994192888,0.245264257039509,2,320
2,"Pattern",4.51977049680456,4,272,0.00149889430090438,0.18883,0.2394,"<.005",0.0399153456685498,0.0623246663060484,22.419061670743,2.28851302814803e-05,2,16,38.4813953651049,2.26485497023532e-14,2,160,0.11245777987801,0.148664858887994,2,32,0.0288679009383963,0.00995622186774991,2,320
3,"Pattern",2.56694303549864,4,272,0.0385249974154988,0.11004,0.2174,"<.05",0.0182785511553305,0.0363759988045301,6.35991586540763,0.00927907602191191,2,16,19.6573828617161,2.32509516084889e-08,2,160,0.0374524180652266,0.516681790125733,2,32,0.0152926908856105,0.0855690461866689,2,320
4,"Pattern",5.41814012973833,4,272,0.000327180323367262,0.073707,0.18359,"<.0005",0.0371667433519808,0.0737983844341991,3.29264610868677,0.0634386816614956,2,16,14.0290281450705,2.43356621498769e-06,2,160,0.0509905797927768,0.409642527983918,2,32,0.0272343103255285,0.0128781322495013,2,320
5,"Pattern",5.77476420599974,4,272,0.000178609561908255,0.035595,0.13683,"<.0005",0.0364257357830204,0.0782756036993217,0.55584289191786,0.584275245530347,2,16,3.16814208339101,0.0447341282160542,2,160,0.0346516828883266,0.542330433424483,2,32,0.0204427114740065,0.0377069225106981,2,320
6,"Pattern",5.28088670910177,4,272,0.000412976017277144,-2.187e-17,0.089291,"<.0005",0.0315266491120776,0.0720636300440107,1.60302414586794,0.23198276959678,2,16,8.18535717546973,0.000412553901259605,2,160,0.0714422382174401,0.290284299906168,2,32,0.0378820416376653,0.00242451393545573,2,320
7,"Pattern",6.75803421973436,4,272,3.36825274570589e-05,-0.028292,0.036037,"<.0001",0.0304335886102601,0.0903987683767961,6.95646608439985,0.00670020316942277,2,16,41.6029903287428,2.88657986402541e-15,2,160,0.099551112918669,0.182959361353983,2,32,0.0384213330151526,0.00222891548864501,2,320
8,"Pattern",0.961956374849863,4,272,0.42881504655032,0.15945,0.30209,"ns",0.00478135788755921,0.0139490876624939,23.2712583500085,1.83466609717797e-05,2,16,57.1274882779998,0,2,160,0.0526704833644604,0.398103751304252,2,32,0.00436689534945771,0.493675094572536,2,320
9,"Pattern",2.4098805648626,4,272,0.0495973611273872,0.083862,0.27643,"<.05",0.0178138694044838,0.0342264543772743,29.1997574946697,4.5750835141467e-06,2,16,72.1256663780214,0,2,160,0.0475080201040952,0.434710467517155,2,32,0.00387927782763211,0.534078716928888,2,320
10,"Pattern",3.67468711550674,4,272,0.00620956812217793,0.050145,0.23852,"<.01",0.0246180017428237,0.0512689662611966,16.1382644581694,0.000145569894461461,2,16,48.9071277610064,0,2,160,0.0576558079916394,0.365848782839619,2,32,0.0262785849513848,0.0149733871673198,2,320
11,"Pattern",6.69827032036867,4,272,3.72731287535822e-05,-4.8953e-17,0.19987,"<.0001",0.0441495287116775,0.0896710230590465,5.20208287712508,0.0181794298249668,2,16,20.4067067931765,1.27697123986081e-08,2,160,0.0393270418756716,0.500236474924693,2,32,0.0195504724074852,0.0434459666771431,2,320
12,"Pattern",6.70541180928354,4,272,3.68246550131845e-05,-0.035595,0.13683,"<.0001",0.0409480589233824,0.0897580462631258,0.223073861959443,0.802502448380284,2,16,1.26121823175635,0.28610974900706,2,160,0.0165534306283958,0.744366834040563,2,32,0.00959724533208181,0.212832801639359,2,320
13,"Pattern",6.36560268581047,4,272,6.55243117124906e-05,-0.058411,0.078036,"<.0001",0.0394927944209863,0.085598750711464,3.75400618538658,0.046050311957713,2,16,18.9681898300921,4.05087466903709e-08,2,160,0.0804968071490044,0.249812362743224,2,32,0.0371966492275558,0.00269823793152923,2,320
14,"Pattern",2.19299474355952,4,272,0.0700378014097209,0.044058,0.32872,"ns",0.0123170104638568,0.0312423590355608,31.0305806730117,3.11515597084533e-06,2,16,86.2807210223289,0,2,160,0.0592459118442411,0.356154341341978,2,32,0.00927140623098315,0.224257146680429,2,320
15,"Pattern",3.75187051359432,4,272,0.00545742340843612,-6.9342e-17,0.28311,"<.01",0.0227289534361432,0.052289515057081,25.0708749233345,1.17261222565279e-05,2,16,71.9368721487324,0,2,160,0.0414517666242593,0.482267108200272,2,32,0.00312738564373527,0.603001233328819,2,320
16,"Pattern",5.1619369742223,4,272,0.000505296141362342,-6.0391e-17,0.24656,"<.001",0.031184046120988,0.0705549523113507,11.8278509714484,0.000702287159069837,2,16,44.3559793127645,4.44089209850063e-16,2,160,0.0410095431806988,0.485949784514645,2,32,0.0135599638952613,0.112841520577897,2,320
17,"Pattern",2.5428869483298,4,272,0.0400502216576877,-8.7824e-17,0.35857,"<.05",0.0158923961957728,0.0360473898692632,32.504621487846,2.31570520203839e-06,2,16,117.322888328895,0,2,160,0.0766838583431422,0.266072290491635,2,32,0.0070466628406149,0.320617556428992,2,320
18,"Pattern",5.96883649055914,4,272,0.000128478334930782,-0.050145,0.23852,"<.0005",0.0390179936928106,0.0806939350914484,9.55065707862819,0.00186368646326351,2,16,38.2061112424936,2.73114864057789e-14,2,160,0.0351101857953756,0.538040614376491,2,32,0.00851552366131872,0.253193380849877,2,320
19,"Pattern",7.69217199486002,4,272,6.93674422390958e-06,-0.073707,0.18359,"<.0001",0.052645397136706,0.101624405696568,3.65183479286776,0.0493816218641263,2,16,15.826525785537,5.3498243235417e-07,2,160,0.0392037341158071,0.501300929751207,2,32,0.0185470314398398,0.0509578883134822,2,320
20,"Pattern",4.2378601128981,4,272,0.00241208566463122,-0.097709,0.1308,"<.005",0.0309491078169218,0.0586653606055729,0.849675490464316,0.445965363010803,2,16,4.08556433476357,0.0185987389186495,2,160,0.0627410575367029,0.335791762182224,2,32,0.0331500253307694,0.00508151508492871,2,320
21,"Pattern",1.1953601405723,4,272,0.313121795134393,-0.044058,0.32872,"ns",0.00681134757628935,0.0172751487692801,26.2954278323971,8.76657789028457e-06,2,16,88.8992569922408,0,2,160,0.0524435394436402,0.399642179509157,2,32,0.00725858072769687,0.309873806357444,2,320
22,"Pattern",2.5784282146653,4,272,0.0378168157278661,-0.083862,0.27643,"<.05",0.0155607418717466,0.0365328086766536,17.0079102370584,0.000109673241915242,2,16,52.1302860476525,0,2,160,0.0452349313181261,0.451948024909263,2,32,0.00416619682550296,0.509918500367166,2,320
23,"Pattern",4.4439570337373,4,272,0.00170368835798601,-0.11004,0.2174,"<.005",0.0374360620360062,0.0613433779116696,8.23272732066619,0.00348006975330417,2,16,25.5013858213052,2.43526310228503e-10,2,160,0.0249080328080528,0.642635317285756,2,32,0.00487827059310059,0.454601283349826,2,320
24,"Pattern",4.96909163415256,4,272,0.000700685640158728,-0.12335,0.16655,"<.001",0.0386866031497208,0.0680985815071709,3.53391191536624,0.0535681752682327,2,16,15.3089597891059,8.25088602551816e-07,2,160,0.0866727894262134,0.225675246844041,2,32,0.0440475239678365,0.000929226849526676,2,320
25,"Pattern",0.605436288006699,4,272,0.659039614679461,-0.15945,0.30209,"ns",0.00346823013146012,0.00882490252616524,13.569941416382,0.000358037215904328,2,16,53.0445737235506,0,2,160,0.0353688587925271,0.535636353034719,2,32,0.00271911757030608,0.644106116436429,2,320
26,"Pattern",2.35021896712864,4,272,0.0545616289854918,-0.18883,0.2394,"ns",0.0192510510708349,0.0334074150959898,11.3555235524119,0.000851687965636838,2,16,29.2824990800593,1.45595757672368e-11,2,160,0.0358707943449556,0.531003569061041,2,32,0.00465006938518208,0.471638055628485,2,320
27,"Pattern",2.1304396021137,4,272,0.0772963803786545,-0.1756,0.16852,"ns",0.0239203560599796,0.0303782439437253,4.04616584112592,0.0378380888811761,2,16,10.6039980352661,4.73598153583055e-05,2,160,0.065002558768173,0.323278156082788,2,32,0.0204336356054003,0.0377612777890202,2,320
28,"Pattern",2.59660502685115,4,272,0.0367217609635919,-0.15612,0.11703,"<.05",0.0221314253654959,0.0367808767271959,0.988389312113392,0.393790195250546,2,16,4.94264660372492,0.00826296448987285,2,160,0.0858942062074724,0.228576625917639,2,32,0.0404448910450781,0.00162626266310628,2,320
29,"Pattern",3.31698271481959,4,272,0.0112668319597052,-0.12367,0.07006,"<.05",0.0255369577884385,0.0465104185364018,2.96212491281357,0.0804566459199026,2,16,14.7098753985481,1.36639964154472e-06,2,160,0.104996193701286,0.167564064010368,2,32,0.0459435575713854,0.000692687602543929,2,320
30,"Pattern",4.77832814954003,4,272,0.00096793108711685,-0.089234,0.023191,"<.001",0.024967025066214,0.0656559208082088,9.34012575249849,0.00205258879751902,2,16,51.3481509563507,0,2,160,0.114369935646602,0.144195539448391,2,32,0.0410153530205643,0.00148814424545884,2,320
31,"Pattern",1.83265613266868,4,272,0.122766686032783,-0.044495,-0.015575,"ns",0.00836306557390742,0.0262435404030313,13.8094989178124,0.000327758825843683,2,16,89.70910739215,0,2,160,0.136516051409148,0.101679441690922,2,32,0.0342726695513612,0.00426202267979625,2,320
32,"Pattern",3.44587857368315,4,272,0.00909495847197017,-0.27061,0.25813,"<.01",0.0194411307367788,0.0482306137523296,19.3288678167552,5.3919614110276e-05,2,16,81.4602192131628,0,2,160,0.0612575340365172,0.344279400472826,2,32,0.0120430707739419,0.143822043251037,2,320
33,"Pattern",4.52659541899564,4,272,0.00148170692292279,-0.27006,0.17418,"<.005",0.0273541507583386,0.062412903747169,9.10784266791063,0.00228643002722517,2,16,35.6866566434202,1.52988732793347e-13,2,160,0.0691869238903114,0.30141275080451,2,32,0.0303159603685203,0.00792828031148218,2,320
34,"Pattern",3.53661007641961,4,272,0.00781937150525864,-0.22865,0.099464,"<.01",0.0273907219911041,0.0494377644207853,1.52370733213649,0.247897170051397,2,16,8.33680767883232,0.000359635792284374,2,160,0.0786758350961835,0.257441893600679,2,32,0.0433493518477426,0.00103552577251609,2,320
35,"Pattern",1.27354439769811,4,272,0.280637115593952,-0.1832,0.042556,"ns",0.0100912630157257,0.0183842823226529,3.11942589459422,0.071789508052596,2,16,16.164808559269,4.03557339323513e-07,2,160,0.116996031700811,0.138288758948051,2,32,0.052680535350913,0.00024495761257004,2,320
36,"Pattern",1.82632956550258,4,272,0.123962339140998,-0.14086,0.0073253,"ns",0.0114035210712368,0.0261553138603589,9.28957196059696,0.00210109632722777,2,16,51.9412837748372,0,2,160,0.130641216781088,0.111470196758806,2,32,0.0410671315681862,0.00147620765221768,2,320
37,"Pattern",2.28731348370558,4,272,0.060312613478195,-0.091723,-0.035635,"ns",0.0112309644579904,0.0325423375903511,13.8837069059909,0.000318972160268771,2,16,88.678371937994,0,2,160,0.147935026252944,0.085168607217747,2,32,0.0398842899938127,0.00177456086878203,2,320
38,"Pattern",2.32900357602017,4,272,0.0564396015895492,-0.34659,0.19108,"ns",0.0108096607008422,0.0331158335479998,13.8533826133392,0.000322530314250002,2,16,68.9534002204766,0,2,160,0.0520380676155001,0.402406575488328,2,32,0.0134590613190832,0.114675913472226,2,320
39,"Pattern",3.37444364060504,4,272,0.010241838595389,-0.33383,0.039461,"<.05",0.0272861717007105,0.0472780377469074,5.07497595813346,0.0196423164787658,2,16,16.2984443306784,3.61124750991593e-07,2,160,0.0562374541746177,0.374732835524211,2,32,0.0290039142981375,0.00974535419240374,2,320
40,"Pattern",0.933918775042072,4,272,0.444665908935079,-0.25598,0.0011134,"ns",0.00688679660977439,0.0135480296440104,1.29290437735181,0.301653347536371,2,16,6.93254337957458,0.0012960092001113,2,160,0.0640946690225421,0.328241219621104,2,32,0.0360588000772605,0.00322308486704059,2,320
41,"Pattern",0.649816824250852,4,272,0.627458820388304,-0.19461,-0.022574,"ns",0.00452278998226024,0.00946567455401136,7.56859749790553,0.00486098151702707,2,16,46.7474541432307,1.11022302462516e-16,2,160,0.138088111344768,0.099217473102734,2,32,0.0560209724504644,0.000146666344645663,2,320
42,"Pattern",0.787984976775041,4,272,0.533809880454762,-0.15112,-0.059346,"ns",0.00499276862802292,0.0114552705249484,15.7215513205896,0.000167330534449173,2,16,92.6947242905919,0,2,160,0.219887517568172,0.0291109262441019,2,32,0.0659059102694532,3.24560651565609e-05,2,320
43,"Pattern",1.81153981665362,4,272,0.126799947135633,-0.41311,0.15319,"ns",0.00646190710574907,0.0259490024344295,14.3588132924848,0.000268614777322984,2,16,79.2088588682298,0,2,160,0.0527764250609113,0.397387739489034,2,32,0.00596497958970884,0.381585512762284,2,320
44,"Pattern",2.23052442173426,4,272,0.0660006228361767,-0.39898,0.074566,"ns",0.0119278781615486,0.0317600422337723,11.1145580680202,0.000941468521852618,2,16,52.0445432203223,0,2,160,0.0573261707552459,0.367893358076703,2,32,0.0186395081593742,0.0502140648763373,2,320
45,"Pattern",0.806922832676981,4,272,0.521633585605116,-0.31837,-0.081339,"ns",0.00623684020092632,0.0117273495087004,1.0488483616846,0.373227307801145,2,16,4.75642705006189,0.00984889976696302,2,160,0.046254558965919,0.444127715773882,2,32,0.0244549813267117,0.0199713885260917,2,320
46,"Pattern",0.941386730354278,4,272,0.440402870957504,-0.24052,-0.075603,"ns",0.00603793811970152,0.0136548853308719,8.7330330290485,0.00272974795631931,2,16,45.9888261914225,2.22044604925031e-16,2,160,0.183989337864135,0.0492893094381504,2,32,0.075734264786557,7.34642078581427e-06,2,320
47,"Pattern",0.787472841814033,4,272,0.534141560085952,-0.19145,-0.085584,"ns",0.00547544235840052,0.0114479106337419,11.9930810495499,0.000657176588203967,2,16,73.9258054926868,0,2,160,0.221770123793877,0.0283313793166391,2,32,0.0782414521391711,5.04006920132305e-06,2,320
48,"Pattern",0.88148945092901,4,272,0.475428146267679,-0.45895,0.17222,"ns",0.0034840376189992,0.0127971891716566,14.9461998211461,0.000218289942400252,2,16,79.5923994617497,0,2,160,0.0569361244744526,0.370328313499626,2,32,0.00447167756605236,0.485402524387311,2,320
49,"Pattern",1.13396320506936,4,272,0.340780408213072,-0.46317,0.03064,"ns",0.00415747249436565,0.0164024041512813,10.55371227239,0.0011947398705765,2,16,64.1028087232228,0,2,160,0.0408103499347866,0.487618343338134,2,32,0.00335566666777556,0.581178939017795,2,320
50,"Pattern",0.346716188636703,4,272,0.846205952762321,-0.27341,-0.16219,"ns",0.00202847566456469,0.00507290193254885,2.04879523431194,0.161364472587487,2,16,12.0615266437682,1.32112880655288e-05,2,160,0.0870540725571477,0.224268697450847,2,32,0.0522216867136188,0.000262872764294486,2,320
51,"Pattern",1.48229694874859,4,272,0.207749608714014,-0.20096,-0.14301,"ns",0.00883014077019651,0.0213334477103133,9.01766459059609,0.00238517483403244,2,16,58.7919069337554,0,2,160,0.183872897885273,0.0493749787185819,2,32,0.0766641627276261,6.38760688831397e-06,2,320
52,"Pattern",1.17227271186231,4,272,0.323296329283332,-0.15394,-0.11866,"ns",0.00611130970046836,0.016947147547767,11.1217603952476,0.000938635380174024,2,16,71.762891419135,0,2,160,0.169194319806426,0.0615520444659329,2,32,0.0571432283783781,0.000123495648513661,2,320
53,"Pattern",1.88597987907103,4,272,0.113108853073603,-0.099452,-0.09574,"ns",0.00884564790298433,0.0269865269448104,15.2385180036762,0.000197266105274485,2,16,96.9220247859387,0,2,160,0.154092527379971,0.0774701713083729,2,32,0.0295181191286941,0.00898796469647511,2,320
54,"Pattern",2.04907495345253,4,272,0.0878139753637062,-0.050987,-0.076676,"ns",0.0105190786789515,0.0292519916189348,13.2718696803886,0.000400197698311455,2,16,88.7394237128143,0,2,160,0.136418101865247,0.101834971210234,2,32,0.0251614729568486,0.01786160468694,2,320
55,"Pattern",1.3856217125968,4,272,0.239125867504229,5.8045e-18,-0.047397,"ns",0.00669408098446535,0.0199698680850076,9.33589871820814,0.0020565960988882,2,16,71.0054020136368,0,2,160,0.0862541457145101,0.227230421167324,2,32,0.0140128373871695,0.104965197809358,2,320
56,"Pattern",0.214673332356454,4,272,0.930160004342338,-0.41976,-0.1671,"ns",0.00155991452032395,0.00314702573316623,5.72683092113513,0.0133093737585945,2,16,26.3293648174982,1.30299104839082e-10,2,160,0.0397356212751506,0.496726539536567,2,32,0.00845994504086274,0.255463761817207,2,320
57,"Pattern",0.385623552815575,4,272,0.818859318520198,-0.33631,-0.19112,"ns",0.00180261545740252,0.00563895644700454,0.693171210803768,0.514391793470718,2,16,4.91505177289648,0.00848056253400398,2,160,0.0269892771034233,0.619664116638895,2,32,0.0168700695081975,0.0665452578845452,2,320
58,"Pattern",0.877236401139123,4,272,0.477986975307078,-0.22492,-0.21452,"ns",0.00408756613605194,0.0127362311116858,1.61905603257141,0.22890762493638,2,16,10.5095074888258,5.14828790529887e-05,2,160,0.0631548781306647,0.333464046277423,2,32,0.0391460791829316,0.00199081185066685,2,320
59,"Pattern",1.61066152088191,4,272,0.171798920588616,-0.15297,-0.18922,"ns",0.00949254949797466,0.0231381441533743,8.26718918255926,0.00342152530749384,2,16,53.3434910679197,0,2,160,0.104209669469199,0.16970006855127,2,32,0.0361867182653036,0.00315929014656868,2,320
60,"Pattern",1.94944395981528,4,272,0.102543493575596,-0.10478,-0.15427,"ns",0.00959388816252498,0.0278693274664942,11.9896219439909,0.000658086908761346,2,16,77.1231119086245,0,2,160,0.101074078549161,0.17850749682941,2,32,0.0226056975888421,0.0267601377370623,2,320
61,"Pattern",2.89382282247598,4,272,0.0226362452991058,-0.054807,-0.12811,"<.05",0.0119857249597761,0.0408191109925381,13.9036092218103,0.000316660894625675,2,16,87.2495914228491,0,2,160,0.0825399468889854,0.24153706618044,2,32,0.00775123807507042,0.286276042965906,2,320
62,"Pattern",4.3869583659255,4,272,0.00187577996454036,1.1987e-17,-0.097882,"<.005",0.0178234749295385,0.0606042644277006,10.575479675783,0.0011835853931339,2,16,65.8349466039679,0,2,160,0.185386287777623,0.0482737449482329,2,32,0.106440338999451,7.72700443629759e-08,2,320
63,"Pattern",1.95592284100964,4,272,0.101518784399391,-0.349,-0.28153,"ns",0.00732516352704036,0.0279593601453148,0.756556148886429,0.485347952101428,2,16,5.53100488413213,0.00475677928450591,2,160,0.0125521623127791,0.79902861530243,2,32,0.0050140939847357,0.444756521197593,2,320
64,"Pattern",2.69301839375611,4,272,0.031408954227052,-0.25813,-0.2804,"<.05",0.00896587851179455,0.0380945453305749,0.290366374451336,0.751848100162099,2,16,2.09525356432984,0.126402327914456,2,160,0.00617661639658205,0.895122587741893,2,32,0.0036223110061144,0.556693249578216,2,320
65,"Pattern",2.53155436077653,4,272,0.0407888618168026,-0.16624,-0.26054,"<.05",0.010367954852978,0.0358925077395481,1.20134509793553,0.326519664506026,2,16,8.74444403083108,0.000248831364933033,2,160,0.0397093624197508,0.496951329743375,2,32,0.0245796784942136,0.0195815745828796,2,320
66,"Pattern",3.14335008365449,4,272,0.0150174987829074,-0.10296,-0.21873,"<.05",0.0115454278248741,0.0441833295727339,7.20780176765815,0.00586392426666782,2,16,49.3541261117902,0,2,160,0.0523232815714179,0.400459953892281,2,32,0.0144826554454171,0.0973780342087237,2,320
67,"Pattern",2.59299768359565,4,272,0.0369366074766488,-0.04676,-0.18643,"<.05",0.0128209352423733,0.0367316556695567,10.1225577992595,0.00144199564104097,2,16,57.0019225252564,0,2,160,0.0418640783090494,0.47886023065861,2,32,0.00555527883166431,0.407614410477595,2,320
68,"Pattern",5.80875935073963,4,272,0.000168594076225099,-0.22108,-0.37388,"<.0005",0.0260675034599384,0.0787001353475727,2.27993034228495,0.134523612429054,2,16,12.9221705315343,6.2755428429373e-06,2,160,0.0463215683378811,0.443618829563095,2,32,0.0255894506148737,0.0166941398405982,2,320
69,"Pattern",4.84333864092696,4,272,0.000867042154634822,-0.1585,-0.34149,"<.001",0.0147709702560739,0.0664897948294442,0.268084654799075,0.768211101787425,2,16,1.47930825993143,0.230893813360262,2,160,0.00808883500250532,0.865073719690837,2,32,0.00604576319125016,0.376654049046157,2,320
70,"Pattern",5.46610935262602,4,272,0.000301601535296256,-0.093018,-0.29235,"<.0005",0.0219266395863708,0.07440314181318,1.0842909359103,0.361735906038266,2,16,6.93899786142466,0.0012883343159209,2,160,0.0308920854603719,0.578907118005735,2,32,0.020287118165564,0.038649760480473,2,320
71,"Pattern",5.51667966253904,4,272,0.000276796081025325,-0.039316,-0.23611,"<.0005",0.025551644111252,0.0750398370527893,4.7545931913613,0.0239544942152526,2,16,31.1593955172765,3.72823993899374e-12,2,160,0.107293589730181,0.161486885640395,2,32,0.066255009571314,3.07804513852705e-05,2,320
72,"Pattern",5.27339900982012,4,272,0.000418255178910049,2.5091e-17,-0.20489,"<.0005",0.0239957198211379,0.071968805611343,6.44806551075832,0.00883572679153055,2,16,42.4249135008901,1.66533453693773e-15,2,160,0.20417939087488,0.0365765700117324,2,32,0.133999851862773,1.44330680740268e-09,2,320
73,"Pattern",5.58529279909424,4,272,0.000246367590262678,-0.10679,-0.41491,"<.0005",0.0188181395826365,0.0759022976825471,3.05453838664655,0.0752306820313201,2,16,15.8816208492018,5.10939638376229e-07,2,160,0.0947585364505361,0.197755371228035,2,32,0.0650325541630746,3.70613798872377e-05,2,320
74,"Pattern",8.67765608362011,4,272,1.320876470282e-06,-0.049033,-0.36828,"<.0001",0.0253891509238371,0.113170596583662,3.70779016125338,0.0475248173209233,2,16,23.0370615050693,1.61332469605924e-09,2,160,0.185287933677844,0.0483445144156081,2,32,0.134106491770748,1.42151868054441e-09,2,320
75,"Pattern",8.42129001498203,4,272,2.03149015352772e-06,3.6897e-17,-0.30129,"<.0001",0.0251255154536447,0.110195601426397,5.4769821304049,0.0154162475595351,2,16,34.935538636616,2.57571741713036e-13,2,160,0.338571691813308,0.00572056308191038,2,32,0.246164939336801,3.33066907387547e-16,2,320
76,"Pattern",7.33251523906321,4,272,1.27360102971183e-05,0.039316,-0.23611,"<.0001",0.0337832403314113,0.0973353301133503,2.36748166896052,0.125699539528139,2,16,17.2883783509657,1.59338896521533e-07,2,160,0.133025676461668,0.107380695786923,2,32,0.0949898767786034,4.15981928236775e-07,2,320
77,"Pattern",4.39451022817863,4,272,0.00185202172834119,0.04676,-0.18643,"<.005",0.0230444353256312,0.0607022578691074,6.00875070318673,0.0113116156996965,2,16,29.9748561709521,8.78475070464901e-12,2,160,0.0557813068774142,0.377638464173642,2,32,0.0327501239050203,0.0054102859663212,2,320
78,"Pattern",3.32963888489049,4,272,0.0110327294099832,0.054807,-0.12811,"<.05",0.0119680710798679,0.0466795982279366,14.5699474412959,0.00024915838893258,2,16,78.8007543388518,0,2,160,0.0649615920877489,0.323500377909093,2,32,0.0215470276431864,0.0316477868358016,2,320
79,"Pattern",0.404464814483232,4,272,0.805376259934619,0.050987,-0.076676,"ns",0.00222858808026231,0.00591284232074856,13.3916572403018,0.000382617161881926,2,16,85.4885992942988,0,2,160,0.0854128891004945,0.230390050223545,2,32,0.0120718135370524,0.143161957102442,2,320
80,"Pattern",1.57802759280763,4,272,0.180360355597906,0.044495,-0.015575,"ns",0.00771600035137685,0.022679970206151,9.78164573236599,0.00167858859618808,2,16,62.7167392724322,0,2,160,0.0613905555541384,0.343509125666368,2,32,0.00732554421209416,0.306554808690079,2,320
81,"Pattern",8.17608617426201,4,272,3.06844280326049e-06,5.188e-17,-0.42363,"<.0001",0.0306448657439265,0.107331402607877,5.1961771398472,0.0182446191632624,2,16,30.1654557453002,7.6483264166427e-12,2,160,0.229208469371428,0.0254616004640003,2,32,0.156764272490368,5.79709613646173e-11,2,320
82,"Pattern",7.2325519648631,4,272,1.50819246397677e-05,0.049033,-0.36828,"<.0001",0.0206122560847035,0.0961359381806032,3.74247852830632,0.0464132198607485,2,16,24.3482271309495,5.86668713609129e-10,2,160,0.223093804049695,0.0277965691060775,2,32,0.164116162373739,2.08086881059444e-11,2,320
83,"Pattern",5.63555521631478,4,272,0.000226220336086679,0.093018,-0.29235,"<.0005",0.023717360945976,0.0765330715543537,0.613497355328416,0.553711697402481,2,16,4.8612501047782,0.00892164520279348,2,160,0.0550983954218607,0.382033398523495,2,32,0.0438730396768908,0.00095471687457005,2,320
84,"Pattern",3.45329836056991,4,272,0.0089833569864705,0.10296,-0.21873,"<.01",0.0184562678452682,0.0483294465028579,0.807219760655275,0.463456770303437,2,16,4.27335945400679,0.015558739474094,2,160,0.0030343019616445,0.946935378584623,2,32,0.00104392565229183,0.844486403473287,2,320
85,"Pattern",2.85619641435088,4,272,0.0240737680850301,0.10478,-0.15427,"<.05",0.0140943948319626,0.040309762009359,9.97404707194318,0.0015401141043776,2,16,45.028564420022,3.33066907387547e-16,2,160,0.0194246727653337,0.707598436637439,2,32,0.00167740965273425,0.762227763399608,2,320
86,"Pattern",1.63041597747124,4,272,0.166798018118612,0.099452,-0.09574,"ns",0.00508250760849392,0.023415284176943,15.9947791338553,0.000152681297598045,2,16,93.0717190215125,0,2,160,0.0550029203583519,0.382652153281681,2,32,0.00478901776373002,0.461189616647368,2,320
87,"Pattern",1.74822109067192,4,272,0.139645377368825,0.091723,-0.035635,"ns",0.00904098932400624,0.0250647409114456,10.3977531542308,0.00127820818866309,2,16,72.7728070703774,0,2,160,0.0797639014155222,0.252853808562076,2,32,0.0153011257282523,0.0854539815998607,2,320
88,"Pattern",6.34498340297877,4,272,6.78570293726508e-05,0.10679,-0.41491,"<.0001",0.0272372705808061,0.0853451451940811,5.39432908229991,0.0161939270075583,2,16,32.5295469289235,1.39910305563262e-12,2,160,0.225024303018489,0.0270357290089344,2,32,0.142492363904936,4.31742197548601e-10,2,320
89,"Pattern",4.65826453118378,4,272,0.00118599027787377,0.1585,-0.34149,"<.005",0.0179249851808517,0.0641119707612136,1.55049098040245,0.242389780721852,2,16,11.3851117891141,2.38321467554981e-05,2,160,0.0836657063280139,0.237102316906222,2,32,0.0572261849787053,0.000121936750874352,2,320
90,"Pattern",3.89688261175952,4,272,0.00427994994377106,0.16624,-0.26054,"<.005",0.0210206578046724,0.0542009955118992,0.11681276891314,0.890503581499389,2,16,0.786092239519292,0.457373368316751,2,160,0.00434790142181748,0.924898347620867,2,32,0.00330399976539174,0.586047361372652,2,320
91,"Pattern",1.92163887854578,4,272,0.107052788805112,0.15297,-0.18922,"ns",0.0104399440357262,0.0274827493944139,3.51207710751158,0.0543864081154759,2,16,14.2277965786276,2.05530416941269e-06,2,160,0.010330920160581,0.831200495288021,2,32,0.00614913338555736,0.370437189954231,2,320
92,"Pattern",1.33638925149686,4,272,0.256652851415849,0.15394,-0.11866,"ns",0.00461594979901756,0.019273995457847,15.3549064741282,0.000189537363906922,2,16,66.8127075313276,0,2,160,0.0363998230291038,0.526166769785159,2,32,0.00883660074618274,0.240469197112718,2,320
93,"Pattern",0.746559009554772,4,272,0.561034965217425,0.15112,-0.059346,"ns",0.00379622113286804,0.0108595836695043,7.99224743074169,0.00392142480542323,2,16,52.6045886574849,0,2,160,0.0564508651228008,0.37338158666135,2,32,0.011875917647721,0.147721915521073,2,320
