"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes","T2btw","T2btw_p","T2btw_df1","T2btw_df2","T2acr","T2acr_p","T2acr_df1","T2acr_df2","T2cbtw","T2cbtw_p","T2cbtw_df1","T2cbtw_df2","T2cacr","T2cacr_p","T2cacr_df1","T2cacr_df2"
1,"Pattern",1.52814495463512,4,448,0.192905950048717,0.27061,0.25813,"ns",0.0113060354997718,0.0134604943579916,13.6530212438934,7.99761922050113e-05,2,27,12.1704882027506,8.87674899585633e-06,2,259,0.0520605327039641,0.230142776177027,2,54,0.0040577591035988,0.347526039701068,2,518
2,"Pattern",0.771752469228346,4,448,0.543987013629611,0.18883,0.2394,"ns",0.00603066129879263,0.0068434909658687,14.3186451007898,5.76726923178228e-05,2,27,15.8085143631709,3.32845284334304e-07,2,259,0.211881671082402,0.0039417372483177,2,54,0.0173935804282105,0.0111045819344638,2,518
3,"Pattern",0.325389668949337,4,448,0.860939552118287,0.11004,0.2174,"ns",0.00262042920093573,0.00289684878822447,14.9624549460336,4.2347625759942e-05,2,27,14.8557519178374,7.80225138163892e-07,2,259,0.288919403581,0.000677334953385289,2,54,0.0320050241689835,0.000268829505198465,2,518
4,"Pattern",0.574995690429102,4,448,0.68091255680327,0.073707,0.18359,"ns",0.00508287889640429,0.00510766788755016,16.592951669624,1.99632498196767e-05,2,27,18.5101079809815,3.06338715505561e-08,2,259,0.316171800458477,0.000373028364896499,2,54,0.036324880156331,9.03886960107458e-05,2,518
5,"Pattern",0.930436672177261,4,448,0.446001524955334,0.035595,0.13683,"ns",0.00707239136819644,0.00823902483329805,22.2322808147871,1.96420090348148e-06,2,27,26.6695119881989,2.93913782201116e-11,2,259,0.33670969929832,0.000240005825291489,2,54,0.0465828171434552,6.9180513757594e-06,2,518
6,"Pattern",0.724266467730349,4,448,0.575688428014152,-2.187e-17,0.089291,"ns",0.00469851627828862,0.00642511581956211,18.4529085616689,8.88414259403447e-06,2,27,35.3379851544895,2.68673971959288e-14,2,259,0.2142277269912,0.0037294308995327,2,54,0.0467899971639228,6.56984247437986e-06,2,518
7,"Pattern",0.686667225494267,4,448,0.601470344461567,-0.028292,0.036037,"ns",0.00465644434852262,0.00609359778224868,13.4903151511526,8.67358170741905e-05,2,27,24.1542672639652,2.40661157668853e-10,2,259,0.255796414753984,0.00142421940783932,2,54,0.0422107729739413,2.06222996291805e-05,2,518
8,"Pattern",0.562148760265787,4,448,0.690257269987459,0.15945,0.30209,"ns",0.00449795254037934,0.00499411895079445,18.4340077562173,8.95539235079568e-06,2,27,18.5418910565327,2.9793820410795e-08,2,259,0.245594218666268,0.00179808768177592,2,54,0.0263305811919747,0.00113322375298308,2,518
9,"Pattern",1.05613770473084,4,448,0.377802149690908,0.083862,0.27643,"ns",0.00933042658218239,0.00934171046501835,19.2630490550552,6.33603637123503e-06,2,27,21.5590752986749,2.18484974556787e-09,2,259,0.274032913682884,0.000943560171443814,2,54,0.0324698973489324,0.000239023789082693,2,518
10,"Pattern",0.385394368231937,4,448,0.819112087371402,0.050145,0.23852,"ns",0.00283957694222533,0.00342922112253473,24.0856747150985,9.9243972173646e-07,2,27,41.5063906444557,2.22044604925031e-16,2,259,0.388860455674484,8.08188891177064e-05,2,54,0.0593175716276088,2.9484470109864e-07,2,518
11,"Pattern",0.987745034081132,4,448,0.41385398453527,-4.8953e-17,0.19987,"ns",0.00729182405329467,0.00874205458108039,28.5932002301442,2.15102082146146e-07,2,27,27.5289227714056,1.44401157697871e-11,2,259,0.412146102427379,5.04018798109795e-05,2,54,0.0506314292435637,2.52637982012249e-06,2,518
12,"Pattern",1.30386108481567,4,448,0.267687233555451,-0.035595,0.13683,"ns",0.00955082403988893,0.0115076491862854,29.5312539269591,1.59743006378221e-07,2,27,38.409924687544,2.44249065417534e-15,2,259,0.345891961315718,0.000197513554076267,2,54,0.0521748608054368,1.72252444174958e-06,2,518
13,"Pattern",0.752658443440169,4,448,0.556612967954886,-0.058411,0.078036,"ns",0.00527869666459913,0.0066753055212239,18.2716535269467,9.59330679162207e-06,2,27,36.7203602984705,9.10382880192628e-15,2,259,0.23428404259818,0.00233383486224703,2,54,0.0455342681176285,8.98598941279083e-06,2,518
14,"Pattern",0.961408034975337,4,448,0.428408762159494,0.044058,0.32872,"ns",0.00916107686434038,0.0085109423802301,17.7331376829614,1.20835644580319e-05,2,27,18.2962097102688,3.6943505810072e-08,2,259,0.249898729780569,0.00162926449596357,2,54,0.0292840828321476,0.000535376191841408,2,518
15,"Pattern",0.854622822746945,4,448,0.491213603656087,-6.9342e-17,0.28311,"ns",0.00813247896162909,0.00757277638585743,17.9816807946966,1.08573559125524e-05,2,27,19.8884187839985,9.22343135201231e-09,2,259,0.249887105647419,0.00162969755833164,2,54,0.03033916758545,0.000409781490714023,2,518
16,"Pattern",1.7263417308281,4,448,0.143033289042386,-6.0391e-17,0.24656,"ns",0.0130637544968218,0.0151797877655651,28.8961285438028,1.95255003276884e-07,2,27,20.7454421808022,4.39709513244679e-09,2,259,0.384889984090972,8.7667721769602e-05,2,54,0.0431539901924281,1.62866426549613e-05,2,518
17,"Pattern",1.37823715045385,4,448,0.240476896197523,-8.7824e-17,0.35857,"ns",0.0114382616073984,0.0121560996633324,21.3772431386443,2.72387305755295e-06,2,27,16.3201677526018,2.11133258209983e-07,2,259,0.259593149745758,0.00130654638918459,2,54,0.0274647790856115,0.00084946622932125,2,518
18,"Pattern",1.36053761241732,4,448,0.246724467605147,-0.050145,0.23852,"ns",0.0119815347236451,0.0120018627387692,20.8213734948065,3.38363082530435e-06,2,27,15.156824005944,5.95722663865317e-07,2,259,0.247269804875195,0.00173031161457304,2,54,0.0318061870226024,0.000282691802204749,2,518
19,"Pattern",1.37811068521543,4,448,0.24052104158368,-0.073707,0.18359,"ns",0.0109565753505727,0.012154997793548,23.9860418235947,1.02864725581853e-06,2,27,25.6556584477133,6.83169076864942e-11,2,259,0.266394074781719,0.00112030475675207,2,54,0.0310687963951453,0.000340667288508234,2,518
20,"Pattern",1.73636236399406,4,448,0.140857456221901,-0.097709,0.1308,"ns",0.0135102078230741,0.0152665544062076,30.1945181984416,1.29939736970286e-07,2,27,37.4912696703115,4.9960036108132e-15,2,259,0.342016480207813,0.000214407200326061,2,54,0.036608021770433,8.41700093452413e-05,2,518
21,"Pattern",1.27875696608089,4,448,0.277451119206782,-0.044058,0.32872,"ns",0.0104541882781985,0.0112885857889824,20.8475169562053,3.34902736032205e-06,2,27,19.6172188420881,1.16703946506647e-08,2,259,0.233209197280307,0.00239271340928204,2,54,0.0278630036054529,0.000767770219786801,2,518
22,"Pattern",1.15138339400874,4,448,0.331751114993088,-0.083862,0.27643,"ns",0.00924832220560612,0.0101756015655546,16.8502052240261,1.77960592019355e-05,2,27,19.6243547044115,1.1598297322557e-08,2,259,0.232836462352355,0.00241348926284146,2,54,0.0297167766733986,0.000479765260617881,2,518
23,"Pattern",2.06147532175551,4,448,0.0848909296247866,-0.11004,0.2174,"ns",0.016154956758196,0.0180733706620952,16.9594105681723,1.69537468390768e-05,2,27,18.2224145881968,3.94118206958893e-08,2,259,0.191697439255765,0.00637707868089321,2,54,0.0203547487996889,0.00520134775055281,2,518
24,"Pattern",1.7827735493083,4,448,0.131172676896128,-0.12335,0.16655,"ns",0.0144499003449641,0.0156682201856833,20.3130129931474,4.13879209537615e-06,2,27,26.4518559658216,3.52093909583573e-11,2,259,0.252503630824869,0.00153516475083371,2,54,0.0275443854288695,0.000832465086229028,2,518
25,"Pattern",1.74154771652641,4,448,0.139743551081712,-0.15945,0.30209,"ns",0.0132967290469827,0.0153114473250074,13.7915258987007,7.46672795977066e-05,2,27,18.8486543370313,2.27880602166053e-08,2,259,0.117914710525558,0.0399673588723448,2,54,0.0131333857974629,0.033195908508687,2,518
26,"Pattern",1.58683567656047,4,448,0.17670339562344,-0.18883,0.2394,"ns",0.0141666938530103,0.0139702428288345,9.66858471570132,0.000681337912155411,2,27,10.9489077599388,2.72462410833008e-05,2,259,0.0853596112607504,0.0936263521479688,2,54,0.00751663541149169,0.14164250159983,2,518
